,Title,Price,ID
58,1996 SPx Commemorative Die-Cut Ken Griffey Jr. #KG1 PSA 10 GEM MINT (PWCC),16.5,143498030316
59,1989 TOPPS TRADED #41T KEN GRIFFEY JR. RC HOF PSA 10 B2796505-257,51.99,362881590072
60,2019 Topps The Living Set Ken Griffey Jr. PSA 10 | Seattle Mariners,3.75,174149220882
61,Ken Griffey Jr 1997 Kenner Starting Lineup - Classic Doubles *pop 4* PSA 10,59.99,293412740485
62,1999 TOPPS #224 KEN GRIFFEY JR. MARINERS HOF PSA 10 B2823730-540,14.99,264602123076
63,1994 Bowman's Best Red Refractor Ken Griffey Jr. #40 PSA 10 GEM MINT (PWCC),36.0,402032831665
64,1990 DONRUSS DIAMOND KINGS #4 KEN GRIFFEY JR. HOF PSA 10 *Nice card* SHARP,29.0,114021619054
65,1989 Score Traded #100T Ken Griffey Jr. HOF PSA 10,20.5,392638932533
66,1990 FLEER #513 KEN GRIFFEY JR. MARINERS HOF PSA 10 B2775418-120,18.99,264590731690
67,1999 Sports Illustrated Diamond Dominators #6 Ken Griffey Jr PSA 10,10.0,372914024619
68,1996 Fleer Ultra Respect Ken Griffey Jr. #2 PSA 10 Gem Mint HOF (BB433),23.24,153767975382
69,1995 Fleer Ken Griffey Jr. #269 PSA 10 GEM MINT (PWCC),7.5,352928343674
70,Ken Griffey Jr 2000 Kenner Starting Lineup Classic Doubles PSA 10,34.99,303436292545
71,1997 Bowman Ken Griffey Jr. #16 PSA 10 GEM MINT (PWCC),13.5,352928346159
72,1992 SCORE IMPACT PLAYERS #28 KEN GRIFFEY JR. HOF PSA 10 B2813389-747,29.99,383361926956
73,2019 Topps Living Set #193 Ken Griffey Jr. PSA 10 Gem Mint Card SPMariners,24.99,283740563449
74,8 Ken Griffey Jr 1989 Donruss Rookie cards/$300 PSA 10?,49.99,312946476072
75,2018 Panini Chronicles Revolution Ken Griffey Jr PSA 10 Gem Mint,20.0,233462259336
76,1995  SP SILVER KEN GRIFFEY JR MARINERS PSA 10,29.99,362881975433
77,1994 KEN GRIFFEY JR Collector’s Choice Silver Signature #117 PSA 10 Low Pop 23,49.99,184053724848
78,1989 Topps Traded #41T Ken Griffey Jr. RC MINT!!!! PSA 10?,4.5,254484331129
79,1989 Topps Traded #41T Ken Griffey Jr. RC MINT!!!! PSA 10?,4.5,254484332116
80,"2001 SPx Baseball KEN GRIFFEY JR. ""PROMO~SAMPLE"" #001 Card  **PSA 10 GEM MINT**",9.99,324037685098
81,1990 DONRUSS #365 KEN GRIFFEY JR. MARINERS HOF PSA 10 B2784232-864,66.99,383324653626
82,1993 Ultra Award Winners Top Glove Ken Griffey Jr. #16 PSA 10 GEM MINT (PWCC),12.5,143498027459
83,1989 CLASSIC TRAVEL UPDATE II #193 KEN GRIFFEY JR. RC HOF PSA 10 B1797531-979,54.99,264576774224
84,🔥 1989 Upper Deck #1 Ken Griffey Jr. Seattle Mariners RC Rookie HOF PSA 10 ? 🔥,15.49,223853355499
85,1991 DONRUSS #49 KEN GRIFFEY JR. MARINERS HOF PSA 10 B2813592-069,19.99,264598639961
86,1997 FLEER GOUDEY GREATS KEN GRIFFEY JR MARINERS PSA 10,20.49,372913076200
87,2005 TOPPS #440 KEN GRIFFEY JR. REDS HOF PSA 10 B2624305-345,26.99,362878030136
88,1993 KING B KEN GRIFFEY JR MARINERS PSA 10,19.99,372913941990
89,1992 STUDIO #232 KEN GRIFFEY JR. MARINERS HOF PSA 10 B2763438-262,18.99,383285822585
90,PSA 10 GEM MINT 1989 SCORE TRADED KEN GRIFFEY JR. #100T MARINERS ROOKIE RC 221R2,54.99,164027677317
91,Ken GRIFFEY JR. 1997 Topps DIAMOND DUOS 1998 Bowman (2) CHROME Lot PSA 10 GEM MT,47.99,274135604040
92,Ken Griffey Jr 2016 Topps Now Hall of Fame PSA 10 GEM #281 Mariners Reds HOF,24.99,303409324892
93,1990 SCORE RISING STARS #3 KEN GRIFFEY JR. HOF PSA 10 B2823931-855,21.99,383376540971
94,1989 Scoremasters KEN GRIFFEY JR. ROOKIE CARD #30 Rare RC Score PSA 10 GEM MINT,49.99,153789070488
95,1992 Donruss Ken Griffey Jr. #165 PSA 10 GEM MINT (PWCC),11.5,143497109591
96,2006 TOPPS #649 KEN GRIFFEY JR. PSA 10 B2816286-649,19.99,264594042560
97,1995 Upper Deck Electric Diamond Ken Griffey Jr. #110 PSA 10 GEM MINT (PWCC),19.5,352928344159
98,1990 DONRUSS LEARNING SERIES #8 KEN GRIFFEY JR. HOF PSA 10 B2663840-561,61.99,362860766576
99,2009 Finest Ken Griffey Jr. #17 PSA 10 GEM MINT (PWCC),12.5,352928351936
